kata,skor,label
ajar,0.06535411,positif
bahasa,0.07884556,positif
bagus,0.04169154,positif
banget,0.037474632,positif
aplikasi,0.04473412,positif
duolingo,0.029819846,positif
inggris,0.066812396,positif
bantu,0.044156015,positif
seru,0.029150546,positif
mudah,0.042132556,positif
senang,0.023796558,positif
anak,0.024382055,positif
paham,0.03531474,positif
mula,0.04347545,positif
pintar,0.02194494,positif
cocok,0.027586043,positif
jepang,0.039706886,positif
erti,0.028632581,positif
terimakasih,0.02054596,positif
asing,0.036399126,positif
lancar,0.028503478,positif
gampang,0.02004826,positif
matematika,0.022515833,positif
bangus,0.040729105,positif
perfecto,0.039604902,positif
mate,0.06382966,positif
adik,0.056563735,positif
wajibb,0.029977918,positif
goodjob,0.057379603,positif
dapatt,0.034979105,positif
sehr,0.024787545,positif
awesome,0.029313207,positif
bagett,0.023123324,positif
duoligo,0.04330921,positif
betttt,0.02041322,positif
sumpahhh,0.043611526,positif
brlajar,0.021718621,positif
