text,sentiment
seru,Positif
ajar senang,Positif
pin,Netral
bawel suka,Netral
apk ya bagus mudah fahami pokok ya duolingo best aishiteru duolingo,Positif
duolingo mama bangga ku bahasa inggris terima kasih duolingo,Positif
ya pintar bahasa inggris senang bintang,Positif
erti,Positif
bantu ajar terbaiiik laah,Positif
aplikasi bagus ajar bahasa gampang dihapalin,Positif
seru banget i like,Netral
bagus ajar,Positif
ya semenjak update deh ajar tonton iklan jujur suka,Negatif
game lgbt,Netral
seru sih ajar dualingo ajar bahasa gampang ngebosenin ajar ya the best deh pokok,Positif
suka bangetttaku lancar bahasa inggrisss thank youuu banget loh duolingo,Positif
suka ajar ajar ajar musik,Positif
seru banget tingkat,Positif
perangkat bagus enak ajar manfaat,Positif
aplikasi manfaat,Positif
bagus bikin anak pintar,Positif
duolingo ajar ku senang ajar duolingo ya ajar senang erti,Positif
suka,Netral
bagus tingkat mampu,Positif
ajar ajar duolingo,Positif
hebat duolingo,Positif
good i love,Negatif
duolingo bagus keren ajar bahasa inggris lancar,Positif
game,Netral
bantu bahasa,Positif
suka kandung lgbtvai mood ajar gue,Netral
keren banget gue dikit ajar bahasa asing tanks duolingo,Positif
bagus cakap arah lgbt ya,Positif
bantu ajar bahasa negara mudah,Positif
bagus,Positif
bagus bahasa inggris good joob duo,Positif
bagus konsep ajar bahasa inggris konten lgbt ya benar anak pakai apk bahaya,Positif
super duolingo gratis,Positif
not bad lumayan tambah ilmu pas kosong,Negatif
aplikasi ya suka semangat,Positif
guna banget gampang ajar bahasa inggris,Positif
bantu terimakasih duolingo,Positif
ya salah,Negatif
baikkk,Negatif
cocok mula,Positif
bagus banget,Positif
bantu lancar bahasa inggris mula suka aplikasi,Positif
bagus banget sumpah cocok ajar bahasa negeri,Positif
masya allah bagus banget aplikasi ya moga manfaat,Positif
ajar cepat suka duolingo,Positif
bagus banget apknya kasih bintang deh,Positif
suka bahasa mandarinnn,Positif
ajar dasar gampang erti,Positif
bikin aga afall minggu senang ajar duolingo,Positif
iklan ya,Netral
aplikasi bantu bangetjadi enak ajar bahasa,Positif
perfec,Netral
bagus mula,Positif
bikin bahasa jepang ku lancar,Positif
ajar bahasa,Positif
ajar,Positif
hebat,Netral
tau gbut,Netral
jago bahasa inggris,Positif
bagus banget belajarr,Positif
bantu asah otak kontrol fokus,Positif
disalahin,Netral
bagus mula,Positif
bagus ku ajar bahasa,Positif
gem keren ajar bahasa negeri,Positif
keren buat bahasa apa,Positif
asi main hp ajar,Positif
ajar bahasa mtk nyanyi terimakasih dualingo puas,Positif
mabar,Netral
latih bahasa,Positif
aplikasi bagus andai ajar mendowlod pintar cerdas,Positif
caturpadahal bilang catur,Netral
bikin semangat ajar,Positif
ajar,Positif
salah terjemah bug mana sempat salah pakai hati biji ganti energi,Negatif
lumayan bahasa inggris,Positif
apk guna bantu bahasa inggis,Positif
hafal yyaa lumayan hafal,Netral
apk duolingo nih praktek lgbt selubung ya kritis engah apknya main developer coba koreksi nih apk,Positif
aplikasi bagus banget ajar bahasa negara,Positif
seruuuuu banget,Positif
bagus nyaman,Positif
mantap ajar asik,Positif
ajar bahasa inggris duolingo,Positif
aplikasi bagus ajar bahasa inggris,Positif
ajar bahasa du,Positif
alhamdulillah suka banget smaaa aplikasi nya bagus belajarr worth banget siii,Positif
i think the previous version was better because the energy level is just enough two tasks,Negatif
mending pakai hatiberkurang salah jawabkalo pakai energi ajar susah,Negatif
markotob bin maknyoss,Netral
salah pilih jawabanharga banding kualitas,Negatif
bagus ajar bahasa inggris mtk pokok the best,Positif
aplikasi bantu ajar bahasa bahasa spanyol introduction basic cakap ahli,Positif
bantu anak ajar,Positif
bagus banget ya ulang erti,Positif
bagus ajar,Positif
luvvv banget apliksi,Positif
seru tarik,Positif
seru banget perempuan perempuan harap baik,Positif
bantu ajar bahasa inggris,Positif
bantu bis bahasa korea duolingo,Positif
bagus seru ajar ya suka banget,Positif
thank you duolingo makes me able speak english i very happy be able speak english thank you duolingo,Negatif
bagus gue belajr b mandarin lengakap gue latih,Positif
aplikasi ajar bahasa baik,Positif
bagus sayang duolinggo kampanye lgbt,Positif
